ano,mes,hora,tipo_crime,bairro,latitude,longitude,qtd_ocorrencias
2024,1,1,Furto,Brasilândia,-23.439602,-46.703092,1
2023,5,10,Furto,Pinheiros,-23.571489,-46.673225,3
2024,6,22,Roubo,Sé,-23.551965,-46.634341,1
2022,7,6,Roubo,Brasilândia,-23.430768,-46.70204,2
2023,3,11,Roubo,Mooca,-23.542708,-46.609883,1
2023,4,8,Furto de Veículo,Liberdade,-23.554315,-46.633891,1
2023,7,10,Roubo,Consolação,-23.556815,-46.658276,1
2022,2,20,Roubo,Cidade Tiradentes,-23.60095,-46.386917,2
2022,5,11,Furto,Campo Limpo,-23.63755,-46.747435,1
2022,12,9,Furto de Veículo,Mooca,-23.556774,-46.619185,1
2023,4,22,Tráfico de Entorpecentes,Liberdade,-23.54546,-46.623239,1
2024,11,16,Roubo de Veículo,Itaim Bibi,-23.591553,-46.675932,1
2022,3,16,Furto de Veículo,Vila Guilherme,-23.518175,-46.602177,1
2023,2,23,Roubo,Consolação,-23.562187,-46.648606,1
2022,9,20,Roubo,Penha,-23.524435,-46.540504,1
2023,4,19,Roubo,Santana,-23.492716,-46.622199,1
2024,12,10,Roubo,Penha,-23.52157,-46.53534,2
2024,8,8,Roubo de Veículo,São Miguel,-23.483271,-46.436825,1
2024,1,8,Roubo,Brasilândia,-23.431911,-46.688105,1
2022,11,15,Furto de Veículo,Pinheiros,-23.550798,-46.674974,1
2022,9,3,Roubo,Liberdade,-23.550161,-46.635737,2
2023,3,11,Lesão Corporal,Capão Redondo,-23.6731,-46.758827,1
2024,4,22,Roubo,Liberdade,-23.565433,-46.629692,2
2024,2,11,Furto,Capão Redondo,-23.668711,-46.767999,1
2023,8,19,Furto,Liberdade,-23.560432,-46.624289,3
2022,4,20,Homicídio,Santo Amaro,-23.665839,-46.698857,1
2023,6,2,Roubo de Veículo,Brooklin,-23.619339,-46.686237,1
2024,9,11,Furto,Santo Amaro,-23.648842,-46.709602,1
2023,3,4,Furto de Veículo,Centro,-23.53544,-46.64443,1
2024,5,12,Furto,Brooklin,-23.622425,-46.699674,2
2024,10,18,Tráfico de Entorpecentes,Capão Redondo,-23.683056,-46.760165,1
2023,6,17,Lesão Corporal,Guaianazes,-23.562183,-46.396127,1
2024,1,7,Furto,Ipiranga,-23.583224,-46.600102,1
2024,11,20,Furto de Veículo,Sacomã,-23.606682,-46.587692,2
2023,2,14,Tráfico de Entorpecentes,Santana,-23.511058,-46.629872,3
2023,2,19,Furto,Sacomã,-23.614505,-46.593239,2
2023,9,5,Roubo,Pinheiros,-23.579274,-46.681626,1
2023,9,5,Roubo,Pinheiros,-23.553365,-46.680182,1
2023,6,16,Roubo,Lapa,-23.514729,-46.704813,2
2024,10,17,Lesão Corporal,Centro,-23.544741,-46.647235,1
2024,7,22,Roubo,Mooca,-23.554432,-46.603504,1
2023,12,15,Lesão Corporal,Vila Madalena,-23.552153,-46.693358,2
2024,6,8,Roubo de Veículo,Ipiranga,-23.602976,-46.604072,1
2024,2,0,Furto,Centro,-23.548143,-46.640076,3
2024,6,11,Roubo,Campo Limpo,-23.620067,-46.774477,1
2024,2,20,Roubo,Itaquera,-23.546946,-46.459488,2
2024,8,8,Furto,Centro,-23.55572,-46.621472,1
2023,7,6,Roubo,Vila Guilherme,-23.517586,-46.626301,1
2022,4,11,Roubo,Pinheiros,-23.570423,-46.671602,2
2023,2,12,Roubo,Brás,-23.536796,-46.618678,3
2023,4,16,Lesão Corporal,Guaianazes,-23.546731,-46.378401,1
2022,7,22,Roubo,Penha,-23.526017,-46.545843,1
2022,8,1,Roubo,Consolação,-23.545728,-46.673957,1
2023,4,10,Roubo,Brooklin,-23.607408,-46.694235,1
2023,2,1,Roubo de Veículo,Penha,-23.527093,-46.538983,1
2022,6,15,Furto de Veículo,Pirituba,-23.487945,-46.729367,2
2022,1,8,Homicídio,Brasilândia,-23.439299,-46.691618,1
2023,7,8,Furto,Centro,-23.553542,-46.635666,1
2023,8,5,Furto,São Miguel,-23.486652,-46.448495,2
2023,10,19,Furto,Vila Madalena,-23.555253,-46.684967,1
2024,11,23,Furto de Veículo,Itaquera,-23.541363,-46.468947,3
2024,9,14,Lesão Corporal,Santo Amaro,-23.646392,-46.701213,1
2023,9,19,Roubo de Veículo,Santana,-23.49622,-46.627947,1
2024,7,20,Furto,São Miguel,-23.486505,-46.439601,3
2023,12,19,Lesão Corporal,Pirituba,-23.465746,-46.747069,1
2022,9,14,Roubo,Santana,-23.497545,-46.617852,1
2022,4,12,Furto,Guaianazes,-23.547332,-46.41044,2
2024,1,17,Roubo de Veículo,Guaianazes,-23.545296,-46.393127,1
2022,3,16,Lesão Corporal,Casa Verde,-23.497757,-46.64499,1
2022,11,20,Tráfico de Entorpecentes,Vila Guilherme,-23.508054,-46.633589,2
2023,8,6,Furto de Veículo,Vila Madalena,-23.551166,-46.688915,1
2024,12,10,Roubo,Barra Funda,-23.514556,-46.663453,1
2024,2,2,Lesão Corporal,Sé,-23.559619,-46.622914,1
2023,9,22,Furto,Moema,-23.59177,-46.6614,1
2023,10,13,Roubo,Sacomã,-23.601277,-46.591632,1
2022,5,0,Roubo de Veículo,Penha,-23.511652,-46.542786,2
2024,10,2,Furto,Bela Vista,-23.559277,-46.648363,1
2023,1,7,Furto,Penha,-23.538093,-46.536917,1
2022,1,16,Furto,Bela Vista,-23.547991,-46.627653,2
2024,6,8,Furto,Vila Madalena,-23.546519,-46.695141,3
2022,1,4,Furto de Veículo,Santo Amaro,-23.642072,-46.70944,1
2023,4,17,Furto,Vila Guilherme,-23.506836,-46.632841,1
2022,4,15,Furto,Ipiranga,-23.581439,-46.605109,1
2023,3,8,Furto de Veículo,Centro,-23.564597,-46.636973,1
2024,7,19,Roubo de Veículo,Cidade Tiradentes,-23.604304,-46.374469,3
2023,1,14,Tráfico de Entorpecentes,Mooca,-23.544777,-46.591395,1
2023,5,20,Furto,Itaquera,-23.531552,-46.45447,3
2022,6,8,Roubo,Sé,-23.55226,-46.630287,3
2024,12,0,Tráfico de Entorpecentes,Barra Funda,-23.509721,-46.655175,1
2023,10,0,Lesão Corporal,Sacomã,-23.611509,-46.584887,1
2022,8,13,Furto,Itaquera,-23.540913,-46.458944,1
2024,3,10,Homicídio,Brooklin,-23.622162,-46.684291,1
2022,2,5,Roubo,Bela Vista,-23.563416,-46.647759,1
2022,7,15,Lesão Corporal,Santana,-23.490442,-46.631487,1
2023,5,14,Roubo,Ipiranga,-23.59242,-46.596343,1
2023,7,23,Furto,São Miguel,-23.479103,-46.445453,3
2024,4,13,Furto,Capão Redondo,-23.673065,-46.750234,1
2023,10,20,Furto,Pirituba,-23.465188,-46.734562,1
2024,4,12,Roubo de Veículo,Guaianazes,-23.539169,-46.387799,3
2023,9,9,Homicídio,Itaim Bibi,-23.579961,-46.689143,1
2024,9,13,Furto,Guaianazes,-23.537977,-46.392895,1
2022,4,19,Furto,Liberdade,-23.559248,-46.633091,1
2022,4,19,Tráfico de Entorpecentes,Casa Verde,-23.502184,-46.6579,1
2024,12,23,Roubo de Veículo,Centro,-23.555422,-46.638337,1
2024,2,6,Roubo,Santo Amaro,-23.6515,-46.710425,1
2023,10,19,Lesão Corporal,Cidade Tiradentes,-23.577291,-46.388114,1
2024,10,18,Tráfico de Entorpecentes,Cidade Tiradentes,-23.590992,-46.383843,3
2022,9,19,Furto,Santo Amaro,-23.663298,-46.706829,1
2024,7,14,Lesão Corporal,Campo Limpo,-23.632178,-46.758768,1
2024,9,10,Lesão Corporal,Lapa,-23.506865,-46.698354,1
2023,2,22,Furto,Itaquera,-23.526107,-46.462151,1
2024,5,11,Furto de Veículo,Brás,-23.534896,-46.613022,1
2024,5,20,Furto,Santo Amaro,-23.649458,-46.714294,1
2023,1,13,Furto,Brás,-23.540088,-46.606008,1
2023,7,13,Lesão Corporal,Santo Amaro,-23.65635,-46.713746,1
2024,1,20,Lesão Corporal,Brás,-23.539933,-46.617432,2
2024,4,15,Tráfico de Entorpecentes,Campo Limpo,-23.626018,-46.750821,1
2022,1,15,Lesão Corporal,Ipiranga,-23.585542,-46.607904,1
2022,6,17,Furto,Brás,-23.544538,-46.611931,1
2022,1,10,Homicídio,Santana,-23.494594,-46.628718,1
2023,2,16,Furto de Veículo,Mooca,-23.549348,-46.623429,1
2023,10,0,Homicídio,Casa Verde,-23.512727,-46.669144,1
2022,4,2,Roubo,Brasilândia,-23.432472,-46.693663,1
2023,2,1,Roubo,Centro,-23.539166,-46.630756,2
2024,11,13,Furto,Sacomã,-23.586686,-46.56951,1
2023,1,15,Roubo,Sé,-23.553529,-46.638183,1
2023,5,12,Lesão Corporal,Sacomã,-23.594646,-46.575496,1
2023,4,20,Homicídio,São Miguel,-23.500515,-46.458019,1
2022,6,15,Roubo,Cidade Tiradentes,-23.585979,-46.389244,2
2022,5,9,Roubo,Itaim Bibi,-23.583375,-46.664536,1
2023,2,19,Furto,Itaquera,-23.544203,-46.453544,1
2024,7,20,Homicídio,Guaianazes,-23.539341,-46.392345,2
2022,3,10,Roubo,Penha,-23.534353,-46.532023,1
2024,8,15,Roubo,Brasilândia,-23.421947,-46.706416,2
2022,10,2,Furto,Cidade Tiradentes,-23.59942,-46.382357,1
2023,9,16,Lesão Corporal,Centro,-23.563862,-46.626318,3
2022,5,2,Furto,Pirituba,-23.464113,-46.729079,2
2022,2,11,Tráfico de Entorpecentes,São Miguel,-23.490753,-46.454074,1
2023,10,19,Furto,São Miguel,-23.501564,-46.452152,1
2022,2,5,Furto de Veículo,Itaquera,-23.541212,-46.467398,2
2023,4,0,Roubo,Capão Redondo,-23.668607,-46.74947,1
2024,9,20,Roubo de Veículo,Vila Madalena,-23.551144,-46.678114,2
2023,7,9,Roubo,Campo Limpo,-23.636449,-46.741826,2
2022,3,20,Furto,Vila Guilherme,-23.509995,-46.610864,1
2022,1,6,Roubo de Veículo,Liberdade,-23.559005,-46.635315,1
2022,8,6,Furto,Santana,-23.500371,-46.636795,2
2022,1,23,Furto,Itaim Bibi,-23.589635,-46.677087,1
2022,2,4,Furto de Veículo,Brooklin,-23.629175,-46.69736,1
2022,4,5,Roubo,Casa Verde,-23.498524,-46.641632,1
2023,1,19,Furto de Veículo,Sacomã,-23.604583,-46.594792,1
2023,11,18,Roubo de Veículo,Itaim Bibi,-23.600963,-46.665143,3
2023,11,14,Furto de Veículo,Pirituba,-23.470092,-46.740088,1
2023,6,8,Furto,São Miguel,-23.481089,-46.449346,1
2024,8,15,Furto de Veículo,Bela Vista,-23.539084,-46.641435,1
2023,2,22,Roubo de Veículo,Sé,-23.563252,-46.630298,1
2022,3,21,Furto de Veículo,Centro,-23.549423,-46.639612,1
2023,2,15,Furto,São Miguel,-23.511212,-46.456487,1
2022,1,8,Furto de Veículo,São Miguel,-23.475105,-46.439885,1
2023,9,1,Roubo de Veículo,Centro,-23.549717,-46.645949,1
2022,7,23,Roubo de Veículo,Lapa,-23.520447,-46.707874,1
2024,11,19,Homicídio,Cidade Tiradentes,-23.598723,-46.389587,1
2023,11,18,Furto,São Miguel,-23.491713,-46.432168,1
2023,12,19,Homicídio,Moema,-23.593267,-46.660883,2
2023,3,12,Lesão Corporal,Sé,-23.555695,-46.621255,1
2024,9,19,Homicídio,Brasilândia,-23.432461,-46.687547,2
2024,9,21,Furto de Veículo,Sé,-23.542768,-46.643149,1
2022,5,21,Furto,Barra Funda,-23.521185,-46.672469,2
2022,1,7,Roubo,Brooklin,-23.613642,-46.707661,1
2024,7,18,Lesão Corporal,Brás,-23.551536,-46.617868,1
2023,4,10,Furto de Veículo,Cidade Tiradentes,-23.595092,-46.375022,1
2023,7,9,Roubo de Veículo,Centro,-23.544005,-46.63557,3
2022,6,14,Roubo,Capão Redondo,-23.667465,-46.768596,1
2022,8,21,Furto,Santana,-23.498504,-46.642917,1
2024,2,11,Furto de Veículo,Mooca,-23.551236,-46.59632,1
2024,8,7,Furto de Veículo,Penha,-23.524733,-46.542916,2
2023,5,13,Roubo de Veículo,Centro,-23.549883,-46.629614,1
2022,1,20,Furto,Sé,-23.555425,-46.626281,1
2024,4,14,Roubo,Penha,-23.522417,-46.554604,2
2022,3,21,Furto,Pinheiros,-23.569826,-46.681427,1
2024,3,12,Roubo de Veículo,Brás,-23.548946,-46.604318,1
2023,3,21,Furto de Veículo,Liberdade,-23.559802,-46.61867,1
2023,3,0,Roubo,Capão Redondo,-23.67276,-46.756674,1
2024,4,22,Furto,Penha,-23.524558,-46.533208,1
2023,10,6,Furto de Veículo,Campo Limpo,-23.626008,-46.760338,2
2024,12,1,Furto,Itaquera,-23.545081,-46.454225,1
2022,1,18,Furto de Veículo,Brasilândia,-23.441913,-46.696168,2
2024,10,19,Furto,Ipiranga,-23.59045,-46.59963,1
2023,7,22,Roubo,Santo Amaro,-23.651983,-46.730044,2
2022,12,14,Roubo,Santana,-23.505439,-46.638908,1
2022,10,18,Furto,Guaianazes,-23.548797,-46.397126,1
2022,7,19,Furto,Cidade Tiradentes,-23.601449,-46.391761,1
2024,3,14,Furto,Sacomã,-23.591688,-46.578662,1
2023,10,6,Lesão Corporal,Brás,-23.551516,-46.61731,1
2024,6,5,Furto de Veículo,Itaquera,-23.529744,-46.451649,1
2022,7,22,Roubo,Campo Limpo,-23.639152,-46.758712,1
2024,7,23,Lesão Corporal,Santo Amaro,-23.649211,-46.71483,3
2022,11,12,Lesão Corporal,Cidade Tiradentes,-23.569925,-46.388627,1
2023,1,22,Furto,Brás,-23.545599,-46.618151,2
2023,11,0,Roubo de Veículo,Brás,-23.536286,-46.623001,1
2023,5,12,Roubo,Santo Amaro,-23.648879,-46.702016,1
2023,7,23,Furto,Mooca,-23.550307,-46.608409,3
2023,5,2,Roubo de Veículo,Centro,-23.546217,-46.625864,2
2024,10,8,Roubo,Moema,-23.618848,-46.683292,1
2024,2,7,Roubo,Sé,-23.55751,-46.656473,1
2024,7,2,Furto,Cidade Tiradentes,-23.59498,-46.37955,2
2023,3,16,Lesão Corporal,Sacomã,-23.608019,-46.586615,1
2024,6,0,Roubo de Veículo,Pirituba,-23.474337,-46.737299,2
2024,8,23,Furto,Capão Redondo,-23.678492,-46.760936,2
2024,2,16,Furto,São Miguel,-23.488606,-46.443672,2
2023,5,21,Furto,Liberdade,-23.554082,-46.630522,1
2022,3,21,Furto,Centro,-23.548593,-46.625588,1
2023,2,1,Furto,Liberdade,-23.558751,-46.631117,2
2022,10,21,Homicídio,Brasilândia,-23.431496,-46.701907,1
2022,7,16,Lesão Corporal,Vila Guilherme,-23.51903,-46.601792,2
2022,4,21,Furto de Veículo,Cidade Tiradentes,-23.600038,-46.377342,1
2024,1,11,Furto,Lapa,-23.51464,-46.709212,2
2023,5,4,Lesão Corporal,Campo Limpo,-23.636504,-46.759233,2
2024,10,17,Roubo,Brás,-23.541493,-46.632109,3
2023,8,10,Furto,Mooca,-23.551572,-46.594639,1
2023,11,4,Furto de Veículo,Sé,-23.543448,-46.637368,1
2022,7,13,Furto de Veículo,Guaianazes,-23.55728,-46.399916,2
2023,5,14,Furto,Mooca,-23.560908,-46.594794,1
2022,12,0,Roubo,São Miguel,-23.496539,-46.449866,1
2024,3,18,Furto,Sé,-23.547924,-46.638376,2
2022,12,5,Furto,Brasilândia,-23.435738,-46.691012,1
2022,12,19,Furto,Vila Madalena,-23.553556,-46.689016,1
2023,8,21,Furto,Itaim Bibi,-23.590628,-46.665718,1
2024,5,20,Roubo,Sé,-23.571107,-46.62844,1
2024,6,18,Furto,Mooca,-23.564052,-46.607522,1
2024,8,14,Furto,Mooca,-23.544228,-46.587393,1
2022,3,16,Furto,Itaim Bibi,-23.584452,-46.681668,3
2022,6,14,Tráfico de Entorpecentes,Itaquera,-23.522584,-46.444849,1
2024,9,19,Roubo,Barra Funda,-23.529511,-46.663881,1
2023,12,13,Furto,Campo Limpo,-23.629336,-46.743749,2
2023,8,6,Roubo,Sé,-23.549635,-46.63448,1
2023,12,12,Roubo de Veículo,Sé,-23.551899,-46.627741,2
2022,2,15,Lesão Corporal,Penha,-23.531629,-46.543681,1
2023,8,7,Roubo de Veículo,Cidade Tiradentes,-23.589534,-46.394297,1
2022,3,9,Furto,Santo Amaro,-23.651062,-46.704956,1
2024,12,17,Roubo de Veículo,Barra Funda,-23.53662,-46.66978,1
2023,6,20,Roubo,Cidade Tiradentes,-23.601029,-46.389503,1
2023,11,1,Roubo,Santo Amaro,-23.655636,-46.70783,2
2022,6,19,Furto de Veículo,Moema,-23.588139,-46.66383,1
2024,4,12,Furto,Liberdade,-23.55087,-46.619132,1
2023,11,1,Furto,Centro,-23.529906,-46.640034,1
2022,8,23,Lesão Corporal,Itaquera,-23.524218,-46.460147,2
2022,1,16,Tráfico de Entorpecentes,Penha,-23.525072,-46.532421,1
2024,3,20,Lesão Corporal,Liberdade,-23.559466,-46.628554,1
2022,11,22,Roubo,Pinheiros,-23.559425,-46.685937,1
2022,12,5,Furto,Barra Funda,-23.519871,-46.660275,1
2022,8,14,Furto,Brasilândia,-23.438173,-46.677717,2
2022,7,20,Tráfico de Entorpecentes,Capão Redondo,-23.680263,-46.757777,1
2023,7,20,Furto,Lapa,-23.526939,-46.693208,1
2022,8,17,Furto,São Miguel,-23.482819,-46.438049,1
2024,4,13,Furto,Liberdade,-23.559754,-46.634194,1
2023,6,19,Furto,Lapa,-23.523434,-46.708822,1
2022,6,21,Homicídio,Penha,-23.527361,-46.531609,2
2024,10,1,Furto,Penha,-23.524633,-46.526813,1
2024,1,23,Furto,Liberdade,-23.571955,-46.633284,1
2023,12,22,Lesão Corporal,Vila Guilherme,-23.520256,-46.613039,1
2022,1,16,Furto de Veículo,Penha,-23.528256,-46.53507,1
2024,11,13,Roubo,Campo Limpo,-23.634628,-46.747576,1
2022,8,2,Furto,Vila Madalena,-23.570408,-46.690568,2
2023,7,9,Tráfico de Entorpecentes,Brás,-23.543764,-46.634399,1
2024,2,12,Furto,Guaianazes,-23.550399,-46.397158,1
2024,1,22,Roubo de Veículo,Bela Vista,-23.571621,-46.645797,1
2024,5,11,Furto,Capão Redondo,-23.675506,-46.768889,1
2022,6,13,Furto,Jardins,-23.567873,-46.668723,2
2023,7,16,Furto,Centro,-23.543357,-46.639399,1
2023,8,18,Furto,Centro,-23.556567,-46.635084,2
2023,8,21,Furto,Sé,-23.545357,-46.635078,1
2024,9,13,Roubo,Ipiranga,-23.600344,-46.61604,1
2023,4,16,Furto,Ipiranga,-23.5965,-46.620008,1
2024,8,23,Furto de Veículo,Consolação,-23.550319,-46.650591,1
2024,11,10,Lesão Corporal,São Miguel,-23.487558,-46.454867,1
2024,7,19,Furto de Veículo,Cidade Tiradentes,-23.597951,-46.393615,2
2023,4,8,Furto,Campo Limpo,-23.644444,-46.748559,1
2022,8,8,Tráfico de Entorpecentes,Brás,-23.543142,-46.629472,2
2024,10,20,Furto de Veículo,Santo Amaro,-23.649998,-46.719489,3
2022,4,14,Roubo,Capão Redondo,-23.679711,-46.762157,1
2024,5,7,Lesão Corporal,Brasilândia,-23.425618,-46.69468,1
2024,4,23,Roubo,Sé,-23.546651,-46.621127,1
2024,12,0,Homicídio,Ipiranga,-23.583449,-46.608786,1
2023,10,7,Furto,Ipiranga,-23.596403,-46.61233,1
2024,9,7,Furto,Cidade Tiradentes,-23.597469,-46.390812,3
2022,1,18,Furto,Vila Madalena,-23.541765,-46.696888,2
2022,7,14,Roubo de Veículo,Bela Vista,-23.555615,-46.646848,2
2022,11,5,Furto,Centro,-23.561213,-46.650802,2
2022,7,17,Tráfico de Entorpecentes,Campo Limpo,-23.625163,-46.766191,1
2024,9,4,Tráfico de Entorpecentes,Ipiranga,-23.579693,-46.612582,1
2024,3,13,Furto,Casa Verde,-23.50239,-46.662897,1
2022,9,17,Furto de Veículo,Guaianazes,-23.54508,-46.389404,2
2024,7,16,Roubo,São Miguel,-23.498781,-46.4417,1
2022,11,20,Roubo,Ipiranga,-23.582344,-46.620339,1
2022,11,17,Tráfico de Entorpecentes,Capão Redondo,-23.68317,-46.776545,1
2024,2,18,Tráfico de Entorpecentes,Brás,-23.544462,-46.618742,2
2022,1,16,Roubo,Penha,-23.515954,-46.532841,1
2022,7,8,Furto,São Miguel,-23.490749,-46.439962,3
2024,11,8,Furto de Veículo,Lapa,-23.524861,-46.696945,1
2022,3,0,Lesão Corporal,Pirituba,-23.475904,-46.748784,2
2023,4,13,Furto,Cidade Tiradentes,-23.592979,-46.392878,1
2022,1,8,Roubo,Mooca,-23.534071,-46.612989,3
2022,10,12,Roubo de Veículo,Santo Amaro,-23.663185,-46.701727,2
2022,12,10,Roubo,Centro,-23.542189,-46.639276,1
2024,9,20,Roubo de Veículo,Vila Madalena,-23.552456,-46.696126,2
2023,12,10,Furto,Ipiranga,-23.590257,-46.605574,2
2023,8,9,Roubo de Veículo,Capão Redondo,-23.6675,-46.753055,1
2022,4,13,Furto,Casa Verde,-23.506721,-46.656299,1
2023,10,3,Roubo,Cidade Tiradentes,-23.605882,-46.397829,1
2024,3,6,Lesão Corporal,Santana,-23.491479,-46.646161,1
2023,10,17,Furto,Lapa,-23.530258,-46.708844,1
2024,7,7,Tráfico de Entorpecentes,Itaquera,-23.528104,-46.450121,2
2024,3,16,Tráfico de Entorpecentes,Penha,-23.509572,-46.543618,2
2024,12,14,Roubo,Cidade Tiradentes,-23.597606,-46.397009,3
2023,7,0,Furto de Veículo,Campo Limpo,-23.643119,-46.753901,1
2023,10,20,Lesão Corporal,Lapa,-23.519453,-46.69539,1
2022,3,23,Roubo de Veículo,Pinheiros,-23.568108,-46.682904,1
2024,12,14,Furto,Centro,-23.542727,-46.639995,1
2023,12,17,Tráfico de Entorpecentes,São Miguel,-23.494078,-46.462953,1
2023,2,0,Furto,Centro,-23.552002,-46.617686,1
2023,3,1,Lesão Corporal,Santo Amaro,-23.658464,-46.694493,1
2024,11,22,Furto,Itaquera,-23.541566,-46.443443,1
2022,9,8,Furto de Veículo,Brasilândia,-23.444131,-46.676436,1
2024,2,17,Roubo,Vila Madalena,-23.561327,-46.693933,1
2024,1,17,Furto de Veículo,Brasilândia,-23.448428,-46.684611,2
2023,4,17,Roubo,Itaquera,-23.535497,-46.453452,1
2023,8,7,Roubo,Moema,-23.616797,-46.657841,2
2022,5,9,Lesão Corporal,Brasilândia,-23.442628,-46.705694,3
2022,11,8,Furto,Capão Redondo,-23.668527,-46.755718,1
2023,4,17,Roubo,Santana,-23.501058,-46.626278,1
2024,11,7,Furto,Pirituba,-23.472353,-46.729362,1
2024,2,16,Furto de Veículo,Bela Vista,-23.550395,-46.655441,1
2023,5,10,Roubo de Veículo,Liberdade,-23.564025,-46.630697,1
2023,12,22,Roubo,Campo Limpo,-23.62764,-46.755997,1
2022,12,20,Tráfico de Entorpecentes,Sé,-23.546401,-46.609814,1
2022,12,16,Roubo,Brás,-23.543864,-46.622074,2
2024,10,11,Furto de Veículo,Penha,-23.532879,-46.541382,1
2024,6,15,Lesão Corporal,Penha,-23.524837,-46.54239,1
2023,5,10,Furto,Campo Limpo,-23.622511,-46.749773,2
2023,1,17,Furto,Penha,-23.534222,-46.533885,2
2022,12,10,Lesão Corporal,Centro,-23.550327,-46.625606,2
2024,12,16,Roubo de Veículo,Mooca,-23.552253,-46.60248,1
2022,12,19,Roubo,Cidade Tiradentes,-23.591585,-46.390172,1
2023,11,23,Furto de Veículo,Penha,-23.522623,-46.551186,2
2022,10,18,Roubo,Consolação,-23.556237,-46.65927,1
2022,12,9,Furto de Veículo,Brasilândia,-23.435739,-46.686599,2
2023,5,20,Homicídio,Sé,-23.545121,-46.631226,1
2022,9,18,Roubo,Capão Redondo,-23.659076,-46.754491,1
2024,12,6,Furto,Capão Redondo,-23.661427,-46.761098,1
2023,4,3,Furto de Veículo,Mooca,-23.544103,-46.616601,1
2023,9,10,Furto,São Miguel,-23.486137,-46.437709,1
2022,2,16,Furto,Centro,-23.543802,-46.629099,1
2022,1,10,Homicídio,Barra Funda,-23.538653,-46.6616,1
2024,5,10,Furto,Guaianazes,-23.537895,-46.389599,2
2022,11,21,Lesão Corporal,Casa Verde,-23.493763,-46.655562,1
2024,6,18,Lesão Corporal,Sacomã,-23.600235,-46.577159,1
2022,7,7,Homicídio,Itaquera,-23.532174,-46.467925,1
2022,3,19,Furto,Ipiranga,-23.590424,-46.606581,1
2023,1,8,Lesão Corporal,Campo Limpo,-23.626299,-46.755201,1
2022,7,12,Roubo,Itaquera,-23.543105,-46.441199,1
2022,11,17,Lesão Corporal,Centro,-23.53553,-46.63246,1
2024,1,16,Lesão Corporal,Centro,-23.551896,-46.637132,3
2022,1,17,Furto,Brás,-23.544661,-46.630402,1
2023,12,17,Roubo,Bela Vista,-23.556031,-46.652829,1
2022,10,18,Roubo,Mooca,-23.555042,-46.608147,1
2023,5,18,Lesão Corporal,Sé,-23.542749,-46.634525,1
2023,12,16,Furto,Barra Funda,-23.540473,-46.679377,1
2024,1,17,Furto,Bela Vista,-23.551897,-46.646571,1
2023,5,19,Roubo,Campo Limpo,-23.642651,-46.748778,1
2022,2,14,Furto de Veículo,Itaquera,-23.528767,-46.462003,1
2023,2,20,Tráfico de Entorpecentes,Santana,-23.501042,-46.626315,2
2024,3,19,Furto,Santana,-23.507718,-46.622948,3
2023,9,12,Homicídio,Itaquera,-23.530924,-46.44852,1
2024,11,22,Furto,Casa Verde,-23.504262,-46.661721,1
2024,1,12,Roubo,Cidade Tiradentes,-23.598074,-46.388561,1
2024,5,2,Roubo,Santana,-23.497288,-46.616656,1
2023,12,22,Furto de Veículo,Lapa,-23.524163,-46.709546,3
2024,2,19,Furto de Veículo,Santo Amaro,-23.654748,-46.701945,3
2023,12,12,Roubo de Veículo,Itaim Bibi,-23.595378,-46.678681,1
2023,12,17,Furto,Vila Guilherme,-23.50537,-46.619712,1
2024,8,2,Furto,Consolação,-23.564751,-46.656497,1
2024,2,16,Roubo,Lapa,-23.524224,-46.713123,1
2024,6,13,Furto,Centro,-23.554448,-46.644036,1
2023,4,19,Furto de Veículo,Liberdade,-23.553969,-46.643166,1
2024,3,11,Furto,Santo Amaro,-23.646768,-46.715076,2
2024,10,17,Roubo,Cidade Tiradentes,-23.581396,-46.397779,1
2022,12,15,Roubo de Veículo,Guaianazes,-23.537275,-46.395471,1
2022,5,18,Furto,Sé,-23.542043,-46.623783,1
2023,5,6,Furto,Itaquera,-23.530929,-46.441447,3
2024,1,19,Furto,Capão Redondo,-23.662338,-46.754409,1
2023,3,21,Furto,Cidade Tiradentes,-23.592382,-46.396441,1
2022,4,16,Furto de Veículo,Brasilândia,-23.438627,-46.685719,1
2022,4,18,Furto,Centro,-23.549665,-46.643823,1
2022,8,13,Furto,Ipiranga,-23.577163,-46.607573,1
2022,7,12,Roubo,Pinheiros,-23.548145,-46.67438,1
2023,1,9,Furto,Capão Redondo,-23.664277,-46.762904,2
2022,11,10,Roubo de Veículo,Vila Guilherme,-23.517326,-46.602682,2
2022,8,9,Roubo de Veículo,Centro,-23.560372,-46.633874,1
2023,8,13,Roubo,São Miguel,-23.504298,-46.441743,1
2022,4,18,Furto,Brasilândia,-23.429374,-46.702105,1
2023,5,22,Roubo de Veículo,Capão Redondo,-23.660724,-46.760273,2
2024,4,5,Roubo,Barra Funda,-23.533589,-46.662759,3
2024,9,18,Roubo,Pirituba,-23.472278,-46.743874,2
2023,1,16,Roubo de Veículo,Brooklin,-23.609442,-46.688948,1
2024,4,6,Furto de Veículo,Santana,-23.506248,-46.612202,1
2024,5,21,Roubo de Veículo,São Miguel,-23.492206,-46.439999,1
2024,11,3,Tráfico de Entorpecentes,Mooca,-23.554082,-46.614415,2
2023,1,0,Roubo,Mooca,-23.559676,-46.610846,1
2022,3,21,Tráfico de Entorpecentes,Bela Vista,-23.568437,-46.639215,2
